sentence,sentiment,processed_text,positive_score,negative_score,original_pos,original_neg,pos_low,pos_medium,pos_high,neg_low,neg_medium,neg_high,fuzzy_sentiment
i loooooooovvvvvveee my kindle not that the dx is cool but the is fantastic in its own right,1,love kindle dx cool fantastic right,0.627,0.248,0.627,0.248,0.0,0.6082130965593785,0.3917869034406215,0.504,0.496,0.0,5.605222028171079
reading my kindle love it lee childs is good read,1,reading kindle love lee child good read,0.587,0.0,0.587,0.0,0.0,0.6970033296337403,0.3029966703662596,0.0,0.0,0.0,8.290348672812152
ok first assesment of the kindle it fucking rocks,1,ok first assesment kindle fucking rock,0.306,0.0,0.306,0.0,0.3207547169811321,0.6792452830188679,0.0,0.0,0.0,0.0,5.917087876731949
you ll love your kindle i ve had mine for a few months and never looked back the new big one is huge no need for remorse,1,love kindle mine month never looked back new big one huge need remorse,0.349,0.113,0.349,0.113,0.2253052164261932,0.7746947835738068,0.0,0.774,0.226,0.0,6.044264762797954
fair enough but i have the kindle and i think it s perfect,1,fair enough kindle think perfect,0.667,0.0,0.667,0.0,0.0,0.5194228634850167,0.4805771365149834,0.0,0.0,0.0,8.193954418790703
no it is too big i m quite happy with the kindle,1,big quite happy kindle,0.571,0.0,0.571,0.0,0.0,0.7325194228634851,0.26748057713651485,0.0,0.0,0.0,8.303902050424993
fuck this economy i hate aig and their non loan given asses,0,fuck economy hate aig non loan given ass,0.0,0.682,0.0,0.682,0.0,0.0,0.0,0.0,0.6359999999999999,0.3640000000000001,1.8285667129900054
jquery is my new best friend,1,jquery new best friend,0.787,0.0,0.787,0.0,0.0,0.25305216426193117,0.7469478357380689,0.0,0.0,0.0,8.121225725642503
loves twitter,1,love twitter,0.808,0.0,0.808,0.0,0.0,0.20643729189789117,0.7935627081021088,0.0,0.0,0.0,8.15575737000675
how can you not love obama he makes jokes about himself,1,love obama make joke,0.762,0.0,0.762,0.0,0.0,0.30854605993340734,0.6914539400665927,0.0,0.0,0.0,8.077484721210833
i firmly believe that obama pelosi have zero desire to be civil it s a charade and a slogan but they want to destroy conservatism,0,firmly believe obama pelosi zero desire civil charade slogan want destroy conservatism,0.242,0.212,0.242,0.212,0.462819089900111,0.537180910099889,0.0,0.5760000000000001,0.424,0.0,5.108184452750695
house correspondents dinner was last night whoopi barbara amp sherri went obama got a standing ovation,1,house correspondent dinner last night whoopi barbara amp sherri went obama got standing ovation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.999999999999996
watchin espn jus seen this new nike commerical with a puppet lebron sh t was hilarious lmao,1,watchin espn jus seen new nike commerical puppet lebron sh hilarious lmao,0.398,0.0,0.398,0.0,0.11653718091009986,0.8834628190899001,0.0,0.0,0.0,0.0,6.703388006392808
dear nike stop with the flywire that shit is a waste of science and ugly love,0,dear nike stop flywire shit waste science ugly love,0.313,0.548,0.313,0.548,0.3052164261931188,0.6947835738068813,0.0,0.0,0.9039999999999999,0.09600000000000009,4.670886277131308
lebron best athlete of our generation if not all time basketball related i don t want to get into inter sport debates about __,1,lebron best athlete generation time basketball related want get inter sport debate,0.355,0.0,0.355,0.0,0.2119866814650389,0.7880133185349611,0.0,0.0,0.0,0.0,6.286170076814701
i was talking to this guy last night and he was telling me that he is a die hard spurs fan he also told me that he hates lebron james,0,talking guy last night telling die hard spur fan also told hate lebron james,0.108,0.423,0.108,0.423,0.7602663706992231,0.2397336293007769,0.0,0.15400000000000003,0.846,0.0,3.468741907580675
i love lebron,1,love lebron,0.808,0.0,0.808,0.0,0.0,0.20643729189789117,0.7935627081021088,0.0,0.0,0.0,8.15575737000675
lebron is a beast but i m still cheering the a til the end,0,lebron beast still cheering til end,0.398,0.0,0.398,0.0,0.11653718091009986,0.8834628190899001,0.0,0.0,0.0,0.0,6.703388006392808
lebron is the boss,1,lebron bos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.999999999999996
lebron is a hometown hero to me lol i love the lakers but let s go cavs lol,1,lebron hometown hero lol love lakers let go cavs lol,0.691,0.0,0.691,0.0,0.0,0.4661487236403997,0.5338512763596003,0.0,0.0,0.0,8.157347960050185
lebron and zydrunas are such an awesome duo,1,lebron zydrunas awesome duo,0.577,0.0,0.577,0.0,0.0,0.7192008879023308,0.2807991120976691,0.0,0.0,0.0,8.299078069817648
lebron is a beast nobody in the nba comes even close,1,lebron beast nobody nba come even close,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.999999999999996
downloading apps for my iphone so much fun there literally is an app for just about anything,1,downloading apps iphone much fun literally app anything,0.32,0.0,0.32,0.0,0.28967813540510545,0.7103218645948945,0.0,0.0,0.0,0.0,6.013011833971025
good news just had a call from the visa office saying everything is fine what a relief i am sick of scams out there stealing,1,good news call visa office saying everything fine relief sick scam stealing,0.318,0.437,0.318,0.437,0.29411764705882354,0.7058823529411765,0.0,0.126,0.874,0.0,4.731305581680073
awesome come back from via,1,awesome come back via,0.577,0.0,0.577,0.0,0.0,0.7192008879023308,0.2807991120976691,0.0,0.0,0.0,8.299078069817648
in montreal for a long weekend of r amp r much needed,1,montreal long weekend amp much needed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.999999999999996
booz allen hamilton has a bad ass homegrown social collaboration platform way cool ttiv,1,booz allen hamilton bad as homegrown social collaboration platform way cool ttiv,0.146,0.222,0.146,0.222,0.6759156492785793,0.3240843507214206,0.0,0.556,0.444,0.0,4.759034146556586
mluc customer innovation award winner booz allen hamilton,1,mluc customer innovation award winner booz allen hamilton,0.664,0.0,0.664,0.0,0.0,0.5260821309655938,0.47391786903440625,0.0,0.0,0.0,8.198309661955934
i current use the nikon d and love it but not as much as the canon d d i chose the d for the video feature my mistake,1,current use nikon love much canon chose video feature mistake,0.288,0.164,0.288,0.164,0.36071032186459495,0.639289678135405,0.0,0.6719999999999999,0.328,0.0,5.4849999873108395
google is always a good place to look should ve mentioned i worked on the mustang w my dad,1,google always good place look mentioned worked mustang dad,0.266,0.0,0.266,0.0,0.4095449500554939,0.5904550499445061,0.0,0.0,0.0,0.0,5.678037057657404
played with an android google phone the slide out screen scares me i would break that fucker so fast still prefer my iphone,0,played android google phone slide screen scare would break fucker fast still prefer iphone,0.115,0.359,0.115,0.359,0.7447280799112098,0.25527192008879024,0.0,0.28200000000000003,0.718,0.0,3.883496170572284
us planning to resume the military tribunals at guantanamo bay only this time those on trial will be aig execs and chrysler debt holders,0,u planning resume military tribunal guantanamo bay time trial aig exec chrysler debt holder,0.0,0.172,0.0,0.172,0.0,0.0,0.0,0.656,0.344,0.0,4.721610371856853
omg so bored amp my tattoooos are so itchy help aha,0,omg bored amp tattos itchy help aha,0.248,0.385,0.248,0.385,0.44950055493895674,0.5504994450610433,0.0,0.22999999999999998,0.77,0.0,4.548339597650001
i m itchy and miserable,0,itchy miserable,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666700066733335
no i m not itchy for now maybe later lol,0,itchy maybe later lol,0.406,0.304,0.406,0.304,0.09877913429522749,0.9012208657047726,0.0,0.392,0.608,0.0,5.266932164275824
rt i love the nerdy stanford human biology videos makes me miss school,1,rt love nerdy stanford human biology video make miss school,0.3,0.2,0.3,0.2,0.3340732519422864,0.6659267480577136,0.0,0.6,0.4,0.0,5.414815556673443
has been a bit crazy with steep learning curve but lyx is really good for long docs for anything shorter it would be insane,1,bit crazy steep learning curve lyx really good long doc anything shorter would insane,0.166,0.264,0.166,0.264,0.6315205327413984,0.3684794672586016,0.0,0.472,0.528,0.0,4.640468593883369
i m listening to p y t by danny gokey lt lt lt aww he s so amazing i lt him so much,1,listening danny gokey lt lt lt aww amazing lt much,0.297,0.0,0.297,0.0,0.34073251942286353,0.6592674805771365,0.0,0.0,0.0,0.0,5.85897539109046
is going to sleep then on a bike ride,1,going sleep bike ride,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.999999999999996
cant sleep my tooth is aching,0,cant sleep tooth aching,0.467,0.0,0.467,0.0,0.0,0.9633740288568258,0.036625971143174285,0.0,0.0,0.0,7.663792974796839
blah blah blah same old same old no plans today going back to sleep i guess,0,blah blah blah old old plan today going back sleep guess,0.0,0.344,0.0,0.344,0.0,0.0,0.0,0.31200000000000006,0.688,0.0,3.805262911459969
glad i didnt do bay to breakers today it s freaking degrees in san francisco wtf,0,glad didnt bay breaker today freaking degree san francisco wtf,0.181,0.398,0.181,0.398,0.5982241953385128,0.4017758046614872,0.0,0.20399999999999996,0.796,0.0,4.1383279323365585
obama administration must stop bonuses to aig ponzi schemers,0,obama administration must stop bonus aig ponzi schemer,0.299,0.188,0.299,0.188,0.33629300776914545,0.6637069922308546,0.0,0.624,0.376,0.0,5.455956679120214
started to think that citi is in really deep s amp t are they gonna survive the turmoil or are they gonna be the next aig,0,started think citi really deep amp gon na survive turmoil gon na next aig,0.0,0.161,0.0,0.161,0.0,0.0,0.0,0.6779999999999999,0.322,0.0,4.755959472063149
shaunwoo hate n on aig,0,shaunwoo hate aig,0.0,0.649,0.0,0.649,0.0,0.0,0.0,0.0,0.702,0.29800000000000004,1.7806969145511649
you will not regret going to see star trek it was awesome,1,regret going see star trek awesome,0.376,0.257,0.376,0.257,0.1653718091009989,0.8346281908990011,0.0,0.486,0.514,0.0,5.38764016635452
annoying new trend on the internets people picking apart michael lewis and malcolm gladwell nobody wants to read that,0,annoying new trend internet people picking apart michael lewis malcolm gladwell nobody want read,0.081,0.169,0.081,0.169,0.8201997780244172,0.17980022197558268,0.0,0.6619999999999999,0.338,0.0,4.799827998053751
highly recommend by malcolm gladwell,1,highly recommend malcolm gladwell,0.482,0.0,0.482,0.0,0.0,0.9300776914539401,0.06992230854605987,0.0,0.0,0.0,7.945172826787708
blink by malcolm gladwell amazing book and the tipping point,1,blink malcolm gladwell amazing book tipping point,0.388,0.0,0.388,0.0,0.13873473917869034,0.8612652608213096,0.0,0.0,0.0,0.0,6.596814229531897
malcolm gladwell might be my new man crush,1,malcolm gladwell might new man crush,0.0,0.242,0.0,0.242,0.0,0.0,0.0,0.516,0.484,0.0,4.443682106558003
omg the commercials alone on espn are going to drive me nuts,0,omg commercial alone espn going drive nut,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.5,0.5,0.0,4.404761904761901
playing with twitter api sounds fun may need to take a class or find a new friend who like to generate results with api code,1,playing twitter api sound fun may need take class find new friend like generate result api code,0.454,0.0,0.454,0.0,0.0,0.9922308546059934,0.007769145394006666,0.0,0.0,0.0,7.4453774060985225
hello twitter api,1,hello twitter api,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.999999999999996
because the twitter api is slow and most client s aren t good,0,twitter api slow client good,0.42,0.0,0.42,0.0,0.06770255271920095,0.9322974472807991,0.0,0.0,0.0,0.0,6.96242186772913
yahoo answers can be a butt sometimes,0,yahoo answer butt sometimes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.999999999999996
is scrapbooking with nic d,1,scrapbooking nic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.999999999999996
rt five things wolfram alpha does better and vastly different than google,1,rt five thing wolfram alpha better vastly different google,0.266,0.0,0.266,0.0,0.4095449500554939,0.5904550499445061,0.0,0.0,0.0,0.0,5.678037057657404
just changed my default pic to a nike basketball cause bball is awesome,1,changed default pic nike basketball cause bball awesome,0.369,0.0,0.369,0.0,0.18091009988901224,0.8190899001109878,0.0,0.0,0.0,0.0,6.410862899997205
rt was just told that nike layoffs started today,0,rt told nike layoff started today,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.999999999999996
back when i worked for nike we had one fav word just do it,1,back worked nike one fav word,0.375,0.0,0.375,0.0,0.16759156492785796,0.832408435072142,0.0,0.0,0.0,0.0,6.4673911628321115
by the way i m totally inspired by this freaky nike commercial,1,way totally inspired freaky nike commercial,0.34,0.27,0.34,0.27,0.2452830188679245,0.7547169811320755,0.0,0.45999999999999996,0.54,0.0,5.231852370566324
class the d is supposed to come today,1,class supposed come today,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.999999999999996
needs someone to explain lambda calculus to him,0,need someone explain lambda calculus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.999999999999996
took the graduate field exam for computer science today nothing makes you feel like more of an idiot than lambda calculus,0,took graduate field exam computer science today nothing make feel like idiot lambda calculus,0.0,0.311,0.0,0.311,0.0,0.0,0.0,0.378,0.622,0.0,4.049447738882248
shout outs to all east palo alto for being in the buildin karizmakaze cal gta also thanks to profits of doom universal hempz cracka,1,shout out east palo alto buildin karizmakaze cal gta also thanks profit doom universal hempz cracka,0.27,0.126,0.27,0.126,0.4006659267480577,0.5993340732519423,0.0,0.748,0.252,0.0,5.510587039474384
yeahhhhhhhhh i wouldn t really have lived in east palo alto if i could have avoided it i guess it s only for the summer,0,yeah really lived east palo alto could avoided guess summer,0.175,0.19,0.175,0.19,0.6115427302996671,0.38845726970033295,0.0,0.62,0.38,0.0,4.954752046167803
great stanford course thanks for making it available to the public really helpful and informative for starting off,1,great stanford course thanks making available public really helpful informative starting,0.558,0.0,0.558,0.0,0.0,0.7613762486126525,0.23862375138734748,0.0,0.0,0.0,8.313234388730592
work til pm lets go lakers,1,work til pm let go lakers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.999999999999996
damn you north korea,0,damn north korea,0.0,0.574,0.0,0.574,0.0,0.0,0.0,0.0,0.8520000000000001,0.1479999999999999,1.6984702811817007
can we just go ahead and blow north korea off the map already,0,go ahead blow north korea map already,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.999999999999996
north korea please cease this douchebaggery china doesn t even like you anymore,0,north korea please cease douchebaggery china even like anymore,0.407,0.0,0.407,0.0,0.09655937846836857,0.9034406215316314,0.0,0.0,0.0,0.0,6.8050321723892155
why the hell is pelosi in freakin china and on whose dime,0,hell pelosi freakin china whose dime,0.0,0.479,0.0,0.479,0.0,0.0,0.0,0.04200000000000004,0.958,0.0,2.1138881568054613
are you burning more cash than chrysler and gm stop the financial tsunami where bailout means taking a handout,0,burning cash chrysler gm stop financial tsunami bailout mean taking handout,0.0,0.286,0.0,0.286,0.0,0.0,0.0,0.42800000000000005,0.572,0.0,4.208516841343027
insects have infected my spinach plant,0,insect infected spinach plant,0.0,0.516,0.0,0.516,0.0,0.0,0.0,0.0,0.968,0.03200000000000003,1.6683237552082726
wish i could catch every mosquito in the world n burn em slowly they been bitin the shit outta me day mosquitos are the assholes of insects,0,wish could catch every mosquito world burn em slowly bitin shit outta day mosquito asshole insect,0.133,0.177,0.133,0.177,0.704772475027747,0.2952275249722531,0.0,0.646,0.354,0.0,4.8816555024301636
just got back from church and i totally hate insects,0,got back church totally hate insect,0.0,0.444,0.0,0.444,0.0,0.0,0.0,0.11199999999999999,0.888,0.0,2.7088122329874964
just got mcdonalds goddam those eggs make me sick o yeah laker up date go lakers not much of an update well it s true so suck it,0,got mcdonalds goddam egg make sick yeah laker date go lakers much update well true suck,0.265,0.362,0.265,0.362,0.4117647058823529,0.5882352941176471,0.0,0.276,0.724,0.0,4.684347540553556
omgg i ohhdee want mcdonalds damn i wonder if its open lol,1,omgg ohhdee want mcdonalds damn wonder open lol,0.347,0.229,0.347,0.229,0.22974472807991128,0.7702552719200887,0.0,0.542,0.458,0.0,5.43504592947262
history exam studying ugh,0,history exam studying ugh,0.0,0.483,0.0,0.483,0.0,0.0,0.0,0.03400000000000003,0.966,0.0,2.0348091730734215
i hate revision it s so boring i am totally unprepared for my exam tomorrow things are not looking good,0,hate revision boring totally unprepared exam tomorrow thing looking good,0.182,0.377,0.182,0.377,0.5960044395116537,0.4039955604883463,0.0,0.246,0.754,0.0,4.205356989809643
higher physics exam tommorow not lookin forward to it much,0,higher physic exam tommorow lookin forward much,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.999999999999996
it s a bank holiday yet i m only out of work now exam season sucks,0,bank holiday yet work exam season suck,0.255,0.274,0.255,0.274,0.4339622641509434,0.5660377358490566,0.0,0.45199999999999996,0.548,0.0,4.9303497927434305
cheney and bush are the real culprits,0,cheney bush real culprit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.999999999999996
life s a bitch and so is dick cheney p bipart tlot tcot hhrs gop dnc,0,life bitch dick cheney bipart tlot tcot hhrs gop dnc,0.0,0.47,0.0,0.47,0.0,0.0,0.0,0.06000000000000005,0.94,0.0,2.2826129344104262
dick cheney s dishonest speech about torture terror and obama fred kaplan slate,0,dick cheney dishonest speech torture terror obama fred kaplan slate,0.0,0.704,0.0,0.704,0.0,0.0,0.0,0.0,0.5920000000000001,0.4079999999999999,1.863715891374539
the republican party is a bunch of anti abortion zealots who couldn t draw flies to a dump neal boortz just now on the radio,0,republican party bunch anti abortion zealot draw fly dump neal boortz radio,0.146,0.422,0.146,0.422,0.6759156492785793,0.3240843507214206,0.0,0.15600000000000003,0.844,0.0,3.818522999277924
is twitter s connections api broken some tweets didn t make it to twitter,0,twitter connection api broken tweet make twitter,0.0,0.341,0.0,0.341,0.0,0.0,0.0,0.31799999999999995,0.682,0.0,3.829267359765039
i srsly hate the stupid twitter api timeout thing soooo annoying,0,srsly hate stupid twitter api timeout thing annoying,0.0,0.662,0.0,0.662,0.0,0.0,0.0,0.0,0.6759999999999999,0.32400000000000007,1.7988152655832543
i really liked learning jquery book is worth a look too,1,really liked learning jquery book worth look,0.5,0.0,0.5,0.0,0.0,0.8901220865704773,0.10987791342952273,0.0,0.0,0.0,8.32749708124948
very interesting ad from adobe by goodby silverstein amp partners youtube adobe cs le sens propre,1,interesting ad adobe goodby silverstein amp partner youtube adobe c le sen propre,0.197,0.0,0.197,0.0,0.562708102108768,0.43729189789123196,0.0,0.0,0.0,0.0,5.365490319628006
goodby silverstein agency new site great,1,goodby silverstein agency new site great,0.451,0.0,0.451,0.0,0.0,0.9988901220865705,0.0011098779134295236,0.0,0.0,0.0,7.39793466397006
rt goodby silverstein s new site i enjoy it nice find,1,rt goodby silverstein new site enjoy nice find,0.5,0.0,0.5,0.0,0.0,0.8901220865704773,0.10987791342952273,0.0,0.0,0.0,8.32749708124948
the ever amazing psyop and goodby silverstein amp partners for hp have to go play with after effects now,1,ever amazing psyop goodby silverstein amp partner hp go play effect,0.408,0.0,0.408,0.0,0.09433962264150951,0.9056603773584905,0.0,0.0,0.0,0.0,6.816681686935911
top ten most watched on viral video chart love the nike mostvaluablepuppets campaign from wieden amp kennedy,1,top ten watched viral video chart love nike mostvaluablepuppets campaign wieden amp kennedy,0.353,0.0,0.353,0.0,0.216426193118757,0.783573806881243,0.0,0.0,0.0,0.0,6.26913482082821
zomg i have a g,1,zomg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.999999999999996
ok so lots of buzz from io but how lucky are they a free g,1,ok lot buzz io lucky free,0.735,0.0,0.735,0.0,0.0,0.36847946725860165,0.6315205327413984,0.0,0.0,0.0,8.082875853697558
just got a free g android at google i o,1,got free android google,0.524,0.0,0.524,0.0,0.0,0.8368479467258602,0.16315205327413987,0.0,0.0,0.0,8.329665867156054
guess i ll be retiring my g and start using my developer g woot googleio,1,guess retiring start using developer woot googleio,0.318,0.0,0.318,0.0,0.29411764705882354,0.7058823529411765,0.0,0.0,0.0,0.0,5.998878695890802
i am happy for philip being at googleio today,1,happy philip googleio today,0.552,0.0,0.552,0.0,0.0,0.7746947835738068,0.2253052164261932,0.0,0.0,0.0,8.31700147093082
lakers played great cannot wait for thursday night lakers vs,1,lakers played great wait thursday night lakers v,0.565,0.0,0.565,0.0,0.0,0.7458379578246395,0.25416204217536054,0.0,0.0,0.0,8.308403707628493
judd apatow creates fake sitcom on nbc com to market his new movie viral marketing at its best,1,judd apatow creates fake sitcom nbc com market new movie viral marketing best,0.325,0.16,0.325,0.16,0.2785793562708102,0.7214206437291898,0.0,0.6799999999999999,0.32,0.0,5.712782722974614
viral marketing fail this acia pills brand oughta get shut down for hacking into people s messenger s i get msgs in a day arrrgh,0,viral marketing fail acia pill brand oughta get shut hacking people messenger get msg day argh,0.0,0.189,0.0,0.189,0.0,0.0,0.0,0.622,0.378,0.0,4.663777176369971
watching night at the museum lmao,1,watching night museum lmao,0.565,0.0,0.565,0.0,0.0,0.7458379578246395,0.25416204217536054,0.0,0.0,0.0,8.308403707628493
i loved night at the museum,1,loved night museum,0.661,0.0,0.661,0.0,0.0,0.5327413984461709,0.4672586015538291,0.0,0.0,0.0,8.2026136663537
just got back from the movies went to see the new night at the museum with rachel it was good,1,got back movie went see new night museum rachel good,0.244,0.0,0.244,0.0,0.4583795782463929,0.541620421753607,0.0,0.0,0.0,0.0,5.565898133693597
i will take you on a date to see night at the museum whenever you want it looks soooooo good,1,take date see night museum whenever want look good,0.375,0.0,0.375,0.0,0.16759156492785796,0.832408435072142,0.0,0.0,0.0,0.0,6.4673911628321115
no watching the night at the museum getting really good,1,watching night museum getting really good,0.39,0.0,0.39,0.0,0.13429522752497225,0.8657047724750278,0.0,0.0,0.0,0.0,6.61761965158554
night at the museum wolverine and junk food perfect monday,1,night museum wolverine junk food perfect monday,0.381,0.0,0.381,0.0,0.15427302996670367,0.8457269700332963,0.0,0.0,0.0,0.0,6.525904567450589
saw night at the museum last night pretty crazy movie but the cast was awesome so it was well worth it robin williams forever,1,saw night museum last night pretty crazy movie cast awesome well worth robin williams forever,0.477,0.101,0.477,0.101,0.0,0.9411764705882354,0.058823529411764636,0.798,0.202,0.0,6.704117195787223
night at the museum tonite instead of up oh well that yr old better enjoy it lol,0,night museum tonite instead oh well yr old better enjoy lol,0.611,0.0,0.611,0.0,0.0,0.6437291897891233,0.35627081021087675,0.0,0.0,0.0,8.266112215087414
it s unfortunate that after the stimulus plan was put in place twice to help gm on the back of the american people has led to the inevitable,0,unfortunate stimulus plan put place twice help gm back american people led inevitable,0.162,0.18,0.162,0.18,0.6403995560488346,0.35960044395116536,0.0,0.64,0.36,0.0,4.9483404499530845
tell me again why we are giving more to gm we should use that for all the programs that support the unemployed,0,tell giving gm use program support unemployed,0.505,0.0,0.505,0.0,0.0,0.8790233074361821,0.12097669256381796,0.0,0.0,0.0,8.333164976656343
oh yes but if gm dies it will only be worth more boo hahaha,0,oh yes gm dy worth boo hahaha,0.672,0.0,0.672,0.0,0.0,0.5083240843507214,0.49167591564927865,0.0,0.0,0.0,8.18658368006433
time warner cable is down again rd time since memorial day bummer,0,time warner cable rd time since memorial day bummer,0.0,0.245,0.0,0.245,0.0,0.0,0.0,0.51,0.49,0.0,4.4292745031004985
i would rather pay reasonable yearly taxes for free fast internet than get gouged by time warner for a slow connection,0,would rather pay reasonable yearly tax free fast internet get gouged time warner slow connection,0.186,0.079,0.186,0.079,0.5871254162042175,0.41287458379578246,0.0,0.842,0.158,0.0,5.258603514916543
nooooooo my dvr just died and i was only half way through the ea presser hate you time warner,0,dvr died half way ea presser hate time warner,0.0,0.51,0.0,0.51,0.0,0.0,0.0,0.0,0.98,0.020000000000000018,1.667323602125946
f ck time warner cable you f cking suck balls i have a hd tv amp my damn hd channels hardly ever come in bullshit,0,ck time warner cable cking suck ball hd tv amp damn hd channel hardly ever come bullshit,0.0,0.395,0.0,0.395,0.0,0.0,0.0,0.20999999999999996,0.79,0.0,3.3292624904040875
time warner has the worse customer service ever i will never use them again,0,time warner worse customer service ever never use,0.0,0.307,0.0,0.307,0.0,0.0,0.0,0.386,0.614,0.0,4.076287990765653
